Capacity,C1017,C617,C8,C888,C883,C61,C138,Cordon_Z1,C62,C80,Cordon_Z2,Cordon_Z3,Cordon_Z4,Cordon_N1,Cordon_Z5,C940,C1470,C139,C1442,C1460,C1462,C1402,C1238,C1440,C878,C98,C96,C1422,C16,C101,Cordon_ZW1,Cordon_ZW2,C70,Cordon_O1,Cordon_ZO1,Cordon_ZO2,C1430,C41,Cordon_ZO3,C43,C1459,C1242,C85,C205 
C1017,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,10,999999,10,999999,999999,999999,10,999999,999999,10,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,10,999999,999999,999999,999999,999999,10,999999,999999,999999
C617,999999,999999,999999,10,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,10,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,10,10,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,10,999999
C8,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,10,999999,10,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,10,999999,999999
C888,999999,10,999999,999999,10,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,10,999999,999999,999999,999999,999999,999999,999999,999999,10,999999,999999,999999,999999,999999,10,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999
C883,999999,999999,999999,10,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,10,999999,999999,999999,999999,999999,10,999999,10,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999
C61,999999,999999,999999,999999,999999,999999,999999,999999,10,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,10,999999,999999,999999,999999,10,999999,10,999999,999999,999999,999999
C138,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,10,999999,10,999999,999999,10,10,999999,999999,999999,999999,999999,10,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999
Cordon_Z1,999999,999999,999999,999999,999999,999999,999999,999999,999999,10,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,10,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,10,999999
C62,999999,999999,999999,999999,999999,10,999999,999999,999999,10,999999,999999,999999,999999,999999,10,999999,999999,999999,999999,999999,999999,999999,999999,10,999999,999999,999999,999999,999999,999999,999999,10,999999,999999,999999,999999,10,999999,999999,999999,999999,999999,999999
C80,999999,999999,999999,999999,999999,999999,999999,10,10,999999,999999,999999,999999,999999,999999,10,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,10,999999,0.6,999999,999999,999999,999999,999999,999999,999999,999999,10,999999,999999,999999,999999,10,999999
